cas	visina
20.02.2023 08:10	226.1
20.02.2023 08:20	227.5
20.02.2023 08:30	229.8
20.02.2023 08:40	231.1
20.02.2023 08:50	233.3
20.02.2023 09:00	234.2
20.02.2023 09:10	234.4
20.02.2023 09:20	236.9
20.02.2023 09:30	237.0
20.02.2023 09:40	237.0
20.02.2023 09:50	235.7
20.02.2023 10:00	234.6
20.02.2023 10:10	233.7
20.02.2023 10:20	229.7
20.02.2023 10:30	226.9
20.02.2023 10:40	225.4
20.02.2023 10:50	221.8
20.02.2023 11:00	216.2
20.02.2023 11:10	213.4
20.02.2023 11:20	209.4
20.02.2023 11:30	205.3
20.02.2023 11:40	199.0
20.02.2023 11:50	194.6
20.02.2023 12:00	191.9
20.02.2023 12:10	187.6
20.02.2023 12:20	181.3
20.02.2023 12:30	178.3
20.02.2023 12:40	173.6
20.02.2023 12:50	169.3
20.02.2023 13:00	163.9
20.02.2023 13:10	161.4
20.02.2023 13:20	157.8
20.02.2023 13:30	153.3
20.02.2023 13:40	148.1
20.02.2023 13:50	143.8
20.02.2023 14:00	140.5
20.02.2023 14:10	137.1
20.02.2023 14:20	134.5
20.02.2023 14:30	132.0
20.02.2023 14:40	129.1
20.02.2023 14:50	125.7
20.02.2023 15:00	124.5
20.02.2023 15:10	123.9
20.02.2023 15:20	121.3
20.02.2023 15:30	120.5
20.02.2023 15:40	120.4
20.02.2023 15:50	121.4
20.02.2023 16:00	121.8
20.02.2023 16:10	123.6
20.02.2023 16:20	127.0
20.02.2023 16:30	128.3
20.02.2023 16:40	130.1
20.02.2023 16:50	133.1
20.02.2023 17:00	135.5
20.02.2023 17:10	138.6
20.02.2023 17:20	140.9
20.02.2023 17:30	143.2
20.02.2023 17:40	149.1
20.02.2023 17:50	151.8
20.02.2023 18:00	154.6
20.02.2023 18:10	159.2
20.02.2023 18:20	164.0
20.02.2023 18:30	167.7
20.02.2023 18:40	169.5
20.02.2023 18:50	176.4
20.02.2023 19:00	180.7
20.02.2023 19:10	185.9
20.02.2023 19:20	187.1
20.02.2023 19:30	193.1
20.02.2023 19:40	197.2
20.02.2023 19:50	202.6
20.02.2023 20:00	205.9
20.02.2023 20:10	210.1
20.02.2023 20:20	213.0
20.02.2023 20:30	217.3
20.02.2023 20:40	220.9
20.02.2023 20:50	224.1
20.02.2023 21:00	227.0
20.02.2023 21:10	229.7
20.02.2023 21:20	234.9
20.02.2023 21:30	235.2
20.02.2023 21:40	237.7
20.02.2023 21:50	237.7
20.02.2023 22:00	240.2
20.02.2023 22:10	240.9
20.02.2023 22:20	238.6
20.02.2023 22:30	239.0
20.02.2023 22:40	238.2
20.02.2023 22:50	237.2
20.02.2023 23:00	236.1
20.02.2023 23:10	235.5
20.02.2023 23:20	233.6
20.02.2023 23:30	229.6
20.02.2023 23:40	227.3
20.02.2023 23:50	226.1
21.02.2023 00:00	222.4
21.02.2023 00:10	219.2
21.02.2023 00:20	217.1
21.02.2023 00:30	213.2
21.02.2023 00:40	210.8
21.02.2023 00:50	207.3
21.02.2023 01:00	204.9
21.02.2023 01:10	201.7
21.02.2023 01:20	199.1
21.02.2023 01:30	194.3
21.02.2023 01:40	191.7
21.02.2023 01:50	187.8
21.02.2023 02:00	185.3
21.02.2023 02:10	183.0
21.02.2023 02:20	178.2
21.02.2023 02:30	175.6
21.02.2023 02:40	174.1
21.02.2023 02:50	171.2
21.02.2023 03:00	169.0
21.02.2023 03:10	167.0
21.02.2023 03:20	165.1
21.02.2023 03:30	163.8
21.02.2023 03:40	162.8
21.02.2023 03:50	160.8
21.02.2023 04:00	159.5
21.02.2023 04:10	159.5
21.02.2023 04:20	158.6
21.02.2023 04:30	157.9
21.02.2023 04:40	157.9
21.02.2023 04:50	158.6
21.02.2023 05:00	159.3
21.02.2023 05:10	159.6
21.02.2023 05:20	162.9
21.02.2023 05:30	165.8
21.02.2023 05:40	169.5
21.02.2023 05:50	172.2
21.02.2023 06:00	174.5
21.02.2023 06:10	179.3
21.02.2023 06:20	183.2
21.02.2023 06:30	187.8
21.02.2023 06:40	192.3
21.02.2023 06:50	195.7
21.02.2023 07:00	198.7
21.02.2023 07:10	203.2
21.02.2023 07:20	207.5
21.02.2023 07:30	210.7
21.02.2023 07:40	213.6
21.02.2023 07:50	216.7
21.02.2023 08:00	220.2
21.02.2023 08:10	223.7
21.02.2023 08:20	225.0
21.02.2023 08:30	228.6
21.02.2023 08:40	229.6
21.02.2023 08:50	233.5
21.02.2023 09:00	235.1
21.02.2023 09:10	237.4
21.02.2023 09:20	239.3
21.02.2023 09:30	239.7
21.02.2023 09:40	240.4
21.02.2023 09:50	241.5
21.02.2023 10:00	242.3
21.02.2023 10:10	242.3
21.02.2023 10:20	242.2
21.02.2023 10:30	240.4
21.02.2023 10:40	238.9
21.02.2023 10:50	238.1
21.02.2023 11:00	234.3
21.02.2023 11:10	232.8
21.02.2023 11:20	229.5
21.02.2023 11:30	226.7
21.02.2023 11:40	224.2
21.02.2023 11:50	220.3
21.02.2023 12:00	216.8
21.02.2023 12:10	210.9
21.02.2023 12:20	207.7
21.02.2023 12:30	202.0
21.02.2023 12:40	197.7
21.02.2023 12:50	194.3
21.02.2023 13:00	188.0
21.02.2023 13:10	183.6
21.02.2023 13:20	178.4
21.02.2023 13:30	173.8
21.02.2023 13:40	170.1
21.02.2023 13:50	165.7
21.02.2023 14:00	161.6
21.02.2023 14:10	156.9
21.02.2023 14:20	152.1
21.02.2023 14:30	148.4
